category,business_name,phone
Restaurants,La Riv Kitchen and Bar,254-231-3661
Restaurants,Backyard bar bbq,254-780-9889
Restaurants,Old Jody's,254-778-9954
Restaurants,The Gin at Nolan Creek,254-613-4446
Restaurants,Big Chew Chew's burgers,254-780-4300
Restaurants,Texas Smokehaus BBQ,254-541-0887
Restaurants,3 west ale house,254-935-2004
Restaurants,Grabba Green,254-935-0707
Restaurants,Deadfish grill,254-939-5771
Restaurants,Mosaic,254-613-5240
Restaurants,Megg's café,254-771-3800
Restaurants,Best quality Meat and BBQ,254-899-0202
Restaurants,Mi Pueblo,254-933-7621
Restaurants,Joe's Pizza and Pasta,254-432-6070
Restaurants,Mission Taco,254-634-2238
Restaurants,Chau's Café,254-213-1262
Restaurants,Petty's BBQ,254-432-7388
Restaurants,Nami Killeen,254-200-0404
Restaurants,Tham Rab Thai,254-213-4744
Restaurants,1LUV Island Restaurant,254-200-1485
Restaurants,Little Italy,254-526-5163
Restaurants,Tex-Rican Restaurant,254-213-2776
Restaurants,Great Wall Café,254-554-7750
Restaurants,Black Meg 43,254-200-9634
Restaurants,MJ's Bar & Grill,254-554-7008
Restaurants,Harv's Sports Bar & Grill,254-690-5511
Restaurants,Bobby Lupo's Pizzeria Harker Heights,254-690-5876
Restaurants,Juicy Joy Deli & Coffee,254-768-2163
Restaurants,Little Tokyo,254-781-2020
Restaurants,Nami Belton,254-933-0404
Restaurants,Hallmark Restaurant,254-526-6050
Restaurants,The sport bar & restaurant,254-432-4244
Restaurants,Los Cabos Seafood Bar and Mexican Grill,254-213-4488
Restaurants,Little Jamaica restaurant and Lounge,254-213-2830
Restaurants,Hook and reel cajun seafood and bar,254-432-4049
Restaurants,Yank Sing,254-628-8388
Restaurants,El Taco Jalisco Mexican Restaurant,254-519-1717
Restaurants,Meno's Mexican Grill,254-554-8220
Restaurants,Tillie Marie's Comfort Food,254-213-2699
Restaurants,City Grill Killeen,254-291-5894
Restaurants,Geechies southern style Restaurant,254-616-2444
Restaurants,Hiebra Fresca Restaurant,254-383-2036
Restaurants,Island Spice Restaurant,254-680-4066
Other,Exchange on central (antique store),254-933-8833
Other,A&S Cozy candles,254-563-5079
Home Improvement,Through the Dutch Door,254-677-6320
Home Improvement,McCoy's Building Supply,254-939-1131
Home Improvement,Norman Building Material,254-939-5132
Home Improvement,Surface source design center,254-939-6464
Home Improvement,Quality Builder supply Ltd.,254-939-3899
Home Improvement,Kitchen & Bath revamp,254-939-1039
